2-faced
abnormal
abominable
abrasive
abrupt
absent-minded
absurd
abused
abusive
abysmal
accidental
accursed
accusing
acerbic
aching
acrid
acrimonious
adamant
addicted
adulterate
adulterated
adverse
afflictive
afraid
aggravating
aggressive
aghast
agonizing
aground
ailing
aimless
alarmed
alarming
alienated
allergic
aloof
ambiguous
ambivalent
amiss
anarchistic
anemic
angry
annoyed
annoying
anomalous
antagonistic
anti-
anti-american
anti-israeli
anti-occupation
anti-proliferation
anti-semites
anti-social
anti-us
anti-white
antiquated
antithetical
anxious
apathetic
apocalyptic
appalled
appalling
apprehensive
arbitrary
arcane
archaic
arduous
argumentative
arrogant
ashamed
asinine
askance
asunder
atrocious
audacious
austere
authoritarian
autocratic
avaricious
averse
awful
awkward
back-logged
back-wood
back-woods
backward
backwoods
bad
baffled
baffling
banal
bankrupt
barbarian
barbaric
barbarous
barren
baseless
bashful
bastard
battered
batty
bearish
beastly
beggarly
belated
belittled
belittling
bellicose
belligerent
bemused
bent
bereft
berserk
bestial
betraying
bewildered
bewildering
bias
biased
bitchy
biting
bitter
bizarre
blame
blameworthy
bland
blasphemous
blasted
blatant
bleak
blind
blinding
blistering
bloated
bloodthirsty
bloody
blotchy
blunt
blurred
blurry
boastful
bogus
boisterous
bombastic
bonkers
bored
boring
bothered
bothersome
braggart
brainless
brash
brazen
break-up
breaking
brittle
broke
broken
broken-hearted
bruised
bruising
brusque
brutal
brute
brutish
buggy
bulkier
bulky
bully
bullying
bum
bumpy
bungling
burdensome
burned
burning
bust
butcher
buzzing
byzantine
calamitous
callous
calumnious
cancerous
capricious
careless
castrated
cataclysmal
cataclysmic
catastrophic
caustic
cautionary
challenging
chaotic
cheap
cheating
checkered
cheerless
cheesy
childish
chill
chilly
chintzy
choleric
choppy
chronic
chunky
clamorous
cliched
clogged
cloudy
clueless
clumsy
clunky
coarse
cocky
coercive
cold
combative
comical
commonplace
complacent
complaining
complex
complicated
compulsive
conceited
concerned
condemnable
condemned
condescending
confined
conflicting
confounded
confounding
confrontational
confused
confusing
congested
conservative
conspicuous
conspiratorial
contagious
contaminated
contaminating
contemptible
contemptuous
contentious
contradictory
contrived
controversial
convoluted
corrosive
corrupt
corrupted
corrupting
costlier
costly
counter-productive
counterproductive
covetous
cowardly
crabby
crack
cracked
crafty
cramped
cranky
crappy
crashing
crass
craven
crazy
creaking
credulous
creepy
crime-ridden
criminal
crippled
crippling
critical
crooked
crowded
crude
cruel
crueler
cruelest
crummy
crumpled
crushed
crushing
culpable
cumbersome
cursed
curt
cussed
cutthroat
cynical
d*mn
damaged
damaging
damn
damnable
damned
damning
damper
dangerous
dark
darkened
